motif.name	name.universal	name.datasetspecific	overall.scale	TFexpress.ExpressionModule.Cor	TFexpress.ExpressionModule.Cor.Scale
MA0019.1	Cebpa	ENSG00000245848	1	0.57209778635135	1
MA0102.4	Cebpa	ENSG00000245848	1	0.57209778635135	1
MA0494.1	Nr1h3	ENSG00000025434	0.81189343304692	0.400727562843092	0.81189343304692
MA0638.1	Creb3	ENSG00000107175	0.809233551424091	0.398304337989259	0.809233551424091
MA0663.1	Mlx	ENSG00000108788	0.807867666266421	0.397059979280534	0.807867666266421
MA0074.1	Rxra	ENSG00000186350	0.776725484671563	0.368688600721609	0.776725484671563
MA0115.1	Rxra	ENSG00000186350	0.776725484671563	0.368688600721609	0.776725484671563
MA0065.2	Rxra	ENSG00000186350	0.776725484671563	0.368688600721609	0.776725484671563
MA0159.1	Rxra	ENSG00000186350	0.776725484671563	0.368688600721609	0.776725484671563
MA0494.1	Rxra	ENSG00000186350	0.776725484671563	0.368688600721609	0.776725484671563
MA0512.2	Rxra	ENSG00000186350	0.776725484671563	0.368688600721609	0.776725484671563
MA1146.1	Rxra	ENSG00000186350	0.776725484671563	0.368688600721609	0.776725484671563
MA1147.1	Rxra	ENSG00000186350	0.776725484671563	0.368688600721609	0.776725484671563
MA1148.1	Rxra	ENSG00000186350	0.776725484671563	0.368688600721609	0.776725484671563
MA0855.1	Rxrb	ENSG00000204231	0.776435315767254	0.368424248919373	0.776435315767254
MA1555.1	Rxrb	ENSG00000204231	0.776435315767254	0.368424248919373	0.776435315767254
MA0592.3	Esrra	ENSG00000173153	0.77335978679501	0.365622357970445	0.77335978679501
MA0596.1	Srebf2	ENSG00000198911	0.771812219305363	0.364212481691851	0.771812219305363
MA0828.1	Srebf2	ENSG00000198911	0.771812219305363	0.364212481691851	0.771812219305363
MA1493.1	Hes6	ENSG00000144485	0.76310061684042	0.356275973755344	0.76310061684042
MA0753.2	Zfp740	ENSG00000139651	0.757821372675993	0.351466438038081	0.757821372675993
MA0842.2	Nrl	ENSG00000129535	0.750763210138755	0.345036259064766	0.750763210138755
MA0754.1	Cux1	ENSG00000257923	0.743663221453148	0.338567975327165	0.743663221453148
MA0482.2	Gata4	ENSG00000136574	0.741335334882996	0.336447207039855	0.741335334882996
MA0762.1	Etv2	ENSG00000105672	0.728221530302235	0.324500172662213	0.728221530302235
