motif.name	name.universal	name.datasetspecific	overall.scale	TFexpress.ExpressionModule.Cor	TFexpress.ExpressionModule.Cor.Scale
MA0596.1	Srebf2	ENSG00000198911	1	0.759516069493564	1
MA0828.1	Srebf2	ENSG00000198911	1	0.759516069493564	1
MA1493.1	Hes6	ENSG00000144485	0.674454398531934	0.407160123364174	0.674454398531934
MA0510.2	Rfx5	ENSG00000143390	0.545701583473697	0.267803855725836	0.545701583473697
MA0605.2	Atf3	ENSG00000162772	0.536839719632851	0.258212172090642	0.536839719632851
MA0464.2	Bhlhe40	ENSG00000134107	0.528446527920647	0.249127758130009	0.528446527920647
MA1103.2	Foxk2	ENSG00000141568	0.500232685810346	0.218590361876183	0.500232685810346
MA0145.3	Tfcp2	ENSG00000135457	0.492578807878533	0.210306147965563	0.492578807878533
MA0833.2	Atf4	ENSG00000128272	0.490415875003163	0.207965086509723	0.490415875003163
MA1554.1	Rfx7	ENSG00000181827	0.482613474213682	0.199520118124769	0.482613474213682
MA0513.1	Smad2	ENSG00000175387	0.4660482248218	0.181590635754177	0.4660482248218
MA1622.1	Smad2	ENSG00000175387	0.4660482248218	0.181590635754177	0.4660482248218
MA0847.2	Foxd2	ENSG00000186564	0.463659806470741	0.17900551894091	0.463659806470741
MA0704.1	Lhx4	ENSG00000121454	0.461154259745424	0.176293627632936	0.461154259745424
MA0695.1	Zbtb7c	ENSG00000184828	0.456014680659354	0.170730777932578	0.456014680659354
MA0151.1	Arid3a	ENSG00000116017	0.455296270095968	0.169953202586361	0.455296270095968
MA0024.3	E2f1	ENSG00000101412	0.454330321436469	0.168907703116255	0.454330321436469
MA0019.1	Cebpa	ENSG00000245848	0.453106933157013	0.167583562557306	0.453106933157013
MA0102.4	Cebpa	ENSG00000245848	0.453106933157013	0.167583562557306	0.453106933157013
MA0626.1	Npas2	ENSG00000170485	0.444227466607111	0.157972826539968	0.444227466607111
MA0878.2	Cdx1	ENSG00000113722	0.443462739441827	0.157145120182889	0.443462739441827
MA0124.2	Nkx3-1	ENSG00000167034	0.439853193406465	0.153238309577394	0.439853193406465
MA1548.1	Plagl2	ENSG00000126003	0.435573534767001	0.14860619916884	0.435573534767001
MA0850.1	Foxp3	ENSG00000049768	0.4350322514635	0.148020338417938	0.4350322514635
MA0803.1	Tbx15	ENSG00000092607	0.434302839206954	0.147230855332881	0.434302839206954
MA1594.1	Zfp382	ENSG00000161298	0.431036594597183	0.143695618780534	0.431036594597183
MA1628.1	Zic2	ENSG00000043355	0.430719533162819	0.143352445716045	0.430719533162819
MA1629.1	Zic2	ENSG00000043355	0.430719533162819	0.143352445716045	0.430719533162819
