motif.name	name.universal	name.datasetspecific	overall.scale	TFchromVAR.ExpressionModule.Cor	TFexpress.ExpressionModule.Cor	TFchromVAR.ExpressionModule.Cor.Scale	TFexpress.ExpressionModule.Cor.Scale
MA1570.1	Tfap4	Tfap4	0.767368850231041	0.258241758241758	0.60989010989011	0.623076923076923	0.911660777385159
MA1146.1	Nr1h4	Nr1h4	0.759846425659147	0.428571428571429	0.401098901098901	0.742307692307692	0.777385159010601
MA1534.1	Nr1i3	Nr1i3	0.740241913563468	0.236263736263736	0.54945054945055	0.607692307692308	0.872791519434629
MA0618.1	Lbx1	Lbx1	0.719095750175663	0.796703296703297	-0.126328601102058	1	0.438191500351327
MA0087.1	Sox5	Sox5	0.714243000815439	0.00549450549450549	0.71978021978022	0.446153846153846	0.982332155477032
MA0463.2	Bcl6	Bcl6	0.710424028268551	0.368131868131868	0.313186813186813	0.7	0.720848056537102
MA0728.1	Nr2f6	Nr2f6	0.708487360695841	0.175824175824176	0.516483516483517	0.565384615384615	0.851590106007067
MA0826.1	Olig1	Olig1	0.703091872791519	0.296703296703297	0.368131868131868	0.65	0.756183745583039
MA1539.1	Nr2f6	Nr2f6	0.70271812992661	0.159340659340659	0.516483516483517	0.553846153846154	0.851590106007067
MA1643.1	Nfib	Nfib	0.698029355803207	-0.00549450549450549	0.681318681318681	0.438461538461538	0.957597173144876
MA0829.2	Srebf1	Srebf1	0.69579369393857	-0.021978021978022	0.692307692307692	0.426923076923077	0.964664310954063
MA0879.1	Dlx1	Dlx1	0.686450307807323	0.483516483516484	0.113039461050838	0.780769230769231	0.592131384845415
MA1148.1	Ppara	Ppara	0.685988040228323	0.192307692307692	0.428571428571429	0.576923076923077	0.795053003533569
MA0843.1	Tef	Tef	0.685424028268551	0.296703296703297	0.313186813186813	0.65	0.720848056537102
MA0794.1	Prox1	Prox1	0.685376460994835	0.357142857142857	0.247252747252747	0.692307692307692	0.678445229681979
MA0596.1	Srebf2	Srebf2	0.683847512911117	0.054945054945055	0.571428571428571	0.480769230769231	0.886925795053003
MA0742.1	Klf12	Klf12	0.681706985593911	-0.0824175824175824	0.714285714285714	0.384615384615385	0.978798586572438
MA0153.2	Hnf1b	Hnf1b	0.673403098668116	0.0604395604395604	0.532967032967033	0.484615384615385	0.862190812720848
MA0793.1	Pou6f2	Pou6f2	0.671255776026094	0.543956043956044	0	0.823076923076923	0.519434628975265
MA0595.1	Srebf1	Srebf1	0.668870617015493	-0.0989010989010989	0.692307692307692	0.373076923076923	0.964664310954063
MA0502.2	Nfyb	Nfyb	0.668619189997282	0.0164835164835165	0.565934065934066	0.453846153846154	0.88339222614841
MA1644.1	Nfyc	Nfyc	0.666791247621636	-0.10989010989011	0.697802197802198	0.365384615384615	0.968197879858657
MA0792.1	Pou5f1	Pou5f1	0.664114121144998	0.142857142857143	0.414370965082372	0.542307692307692	0.785920549982303
MA0863.1	Mtf1	Mtf1	0.66384887197608	0.159340659340659	0.395604395604396	0.553846153846154	0.773851590106007
MA1151.1	Rorc	Rorc	0.661538461538462	-0.17032967032967	0.747252747252747	0.323076923076923	1
MA0092.1	Tcf3	Tcf3	0.653030714868171	0.0274725274725275	0.505494505494506	0.461538461538462	0.84452296819788
MA0677.1	Nr2f6	Nr2f6	0.650795053003534	0.010989010989011	0.516483516483517	0.45	0.851590106007067
