motif.name	name.universal	name.datasetspecific	overall.scale	TFexpress.ExpressionModule.Cor	TFexpress.ExpressionModule.Cor.Scale
MA0051.1	Irf2	ENSG00000168310	1	0.423081960966432	1
MA1466.1	Atf6	ENSG00000118217	0.994668777341493	0.418774931828195	0.994668777341493
MA0473.3	Elf1	ENSG00000120690	0.987182661808577	0.412726991271627	0.987182661808577
MA0144.2	Stat3	ENSG00000168610	0.98525180704423	0.411167077483657	0.98525180704423
MA0517.1	Stat1	ENSG00000115415	0.96875405332107	0.397838745400636	0.96875405332107
MA0137.3	Stat1	ENSG00000115415	0.96875405332107	0.397838745400636	0.96875405332107
MA0641.1	Elf4	ENSG00000102034	0.945274269812633	0.378869717429357	0.945274269812633
MA0098.3	Ets1	ENSG00000134954	0.944824719657576	0.378506531394753	0.944824719657576
MA0657.1	Klf13	ENSG00000169926	0.944809980308229	0.378494623655914	0.944809980308229
MA0604.1	Atf1	ENSG00000123268	0.941175256759466	0.3755581752581	0.941175256759466
MA0597.1	Thap1	ENSG00000131931	0.938993833056234	0.373795829909858	0.938993833056234
MA0844.1	Xbp1	ENSG00000100219	0.932757614347872	0.368757665606878	0.932757614347872
MA0475.2	Fli1	ENSG00000151702	0.92975226101619	0.36632967765751	0.92975226101619
MA0863.1	Mtf1	ENSG00000188786	0.925933295600599	0.363244382524202	0.925933295600599
MA0759.1	Elk3	ENSG00000111145	0.922273515157947	0.360287690970362	0.922273515157947
MA0028.2	Elk1	ENSG00000126767	0.917045467944863	0.356064016004001	0.917045467944863
MA0527.1	Zbtb33	ENSG00000177485	0.912628084945818	0.352495266673811	0.912628084945818
MA0620.3	Mitf	ENSG00000187098	0.912361302722652	0.352279736600817	0.912361302722652
MA0139.1	Ctcf	ENSG00000102974	0.906055809072364	0.347185605925291	0.906055809072364
MA0259.1	Hif1a	ENSG00000100644	0.896604938271605	0.339550363781422	0.896604938271605
MA1106.1	Hif1a	ENSG00000100644	0.896604938271605	0.339550363781422	0.896604938271605
MA0871.2	Tfec	ENSG00000105967	0.891428478781233	0.335368365900999	0.891428478781233
MA0763.1	Etv3	ENSG00000117036	0.885839317509168	0.330852951333071	0.885839317509168
MA0857.1	Rarb	ENSG00000077092	0.875601365453323	0.322581835935174	0.875601365453323
MA0858.1	Rarb	ENSG00000077092	0.875601365453323	0.322581835935174	0.875601365453323
MA1552.1	Rarb	ENSG00000077092	0.875601365453323	0.322581835935174	0.875601365453323
MA0060.3	Nfya	ENSG00000001167	0.870363000695697	0.318349825551626	0.870363000695697
MA0076.2	Elk4	ENSG00000158711	0.866812291438207	0.315481251265197	0.866812291438207
MA1508.1	Ikzf1	ENSG00000185811	0.864275649415732	0.313431929410924	0.864275649415732
MA1581.1	Zbtb6	ENSG00000186130	0.864250592521844	0.313411686254897	0.864250592521844
MA0018.4	Creb1	ENSG00000118260	0.862520192908604	0.312013717715143	0.862520192908604
MA0765.2	Etv5	ENSG00000244405	0.862210666572335	0.311763655199514	0.862210666572335
MA0080.5	Spi1	ENSG00000066336	0.860378565448607	0.310283523261768	0.860378565448607
MA1516.1	Klf3	ENSG00000109787	0.859196469631045	0.309328522606842	0.859196469631045
MA0848.1	Foxo4	ENSG00000184481	0.854395863548999	0.305450172066826	0.854395863548999
MA0521.1	Tcf12	ENSG00000140262	0.853843137948518	0.305003631860346	0.853843137948518
MA1648.1	Tcf12	ENSG00000140262	0.853843137948518	0.305003631860346	0.853843137948518
MA0497.1	Mef2c	ENSG00000081189	0.852941089768533	0.30427487824337	0.852941089768533
MA0598.3	Ehf	ENSG00000135373	0.851941761882863	0.303467533550054	0.851941761882863
MA0105.4	Nfkb1	ENSG00000109320	0.851632235546594	0.303217471034425	0.851632235546594
MA0608.1	Creb3l2	ENSG00000182158	0.85151284681689	0.303121018349826	0.85151284681689
MA1647.1	Prdm4	ENSG00000110851	0.850500253516809	0.302302956691554	0.850500253516809
