motif.name	name.universal	name.datasetspecific	overall.scale	TFchromVAR.ExpressionModule.Cor	TFexpress.ExpressionModule.Cor	TFchromVAR.ExpressionModule.Cor.Scale	TFexpress.ExpressionModule.Cor.Scale
MA0089.2	Nfe2l1	Nfe2l1	0.866953368749473	0.456043956043956	0.653846153846154	0.845771144278607	0.888135593220339
MA0501.1	Maf	Maf	0.835820895522388	0.263736263736264	0.835164835164835	0.671641791044776	1
MA1580.1	Zbtb32	Zbtb32	0.771186440677966	0.626373626373626	0.0934065934065934	1	0.542372881355932
MA1520.1	Maf	Maf	0.753731343283582	0.0824175824175824	0.835164835164835	0.507462686567164	1
MA0007.3	Ar	Ar	0.739784130196475	0.291208791208791	0.483516483516484	0.696517412935323	0.783050847457627
MA1141.1	Jund	Jund	0.731722742221098	0.164835164835165	0.642857142857143	0.582089552238806	0.88135593220339
MA1142.1	Jund	Jund	0.726747617842988	0.153846153846154	0.642857142857143	0.572139303482587	0.88135593220339
MA0492.1	Jund	Jund	0.721772493464879	0.142857142857143	0.642857142857143	0.562189054726368	0.88135593220339
MA1148.1	Ppara	Ppara	0.712631756471878	0.54945054945055	0.0164835164835165	0.930348258706468	0.494915254237288
MA0597.1	Thap1	Thap1	0.708457711442786	0.203296703296703	0.510989010989011	0.616915422885572	0.8
MA1638.1	Hand2	Hand2	0.703018804283666	0.153846153846154	0.565934065934066	0.572139303482587	0.833898305084746
MA0806.1	Tbx4	Tbx4	0.698692975798971	0.417582417582418	0.164835164835165	0.810945273631841	0.586440677966102
MA0491.2	Jund	Jund	0.676996374061894	0.043956043956044	0.642857142857143	0.472636815920398	0.88135593220339
MA0037.3	Gata3	Gata3	0.675731511931866	0.340659340659341	0.203296703296703	0.741293532338308	0.610169491525424
MA1144.1	Jund	Jund	0.667046125305675	0.021978021978022	0.642857142857143	0.45273631840796	0.88135593220339
MA0867.2	Sox4	Sox4	0.665840290075048	0.142857142857143	0.461538461538462	0.562189054726368	0.769491525423729
MA1573.1	Thap11	Thap11	0.659499114596509	0.0989010989010989	0.505494505494506	0.522388059701493	0.796610169491525
MA1128.1	Fosl1	Fosl1	0.658976304916097	0.236263736263736	0.302197802197802	0.646766169154229	0.671186440677966
MA1145.1	Jund	Jund	0.654608314360401	-0.00549450549450549	0.642857142857143	0.427860696517413	0.88135593220339
