motif.name	name.universal	name.datasetspecific	overall.scale	TFexpress.ExpressionModule.Cor	TFexpress.ExpressionModule.Cor.Scale
MA1534.1	Nr1i3	ENSG00000143257	1	0.370831993712714	1
MA1566.1	Tbx3	ENSG00000135111	0.911954682444795	0.315937317662749	0.911954682444795
MA0702.2	Lmx1a	ENSG00000162761	0.908847245760434	0.313999886634383	0.908847245760434
MA0007.3	Ar	ENSG00000169083	0.886530403327769	0.300085735719644	0.886530403327769
MA0519.1	Stat5b	ENSG00000173757	0.853352024660328	0.279399611807714	0.853352024660328
MA1625.1	Stat5b	ENSG00000173757	0.853352024660328	0.279399611807714	0.853352024660328
MA1533.1	Nr1i2	ENSG00000144852	0.832696707754482	0.266521392252825	0.832696707754482
MA1151.1	Rorc	ENSG00000143365	0.821997578276298	0.259850676954953	0.821997578276298
MA1148.1	Ppara	ENSG00000186951	0.773796109199112	0.229797925671894	0.773796109199112
MA1513.1	Klf15	ENSG00000163884	0.761380000534766	0.222056704652354	0.761380000534766
MA1474.1	Creb3l4	ENSG00000143578	0.753813068904533	0.217338858524155	0.753813068904533
MA1475.1	Creb3l4	ENSG00000143578	0.753813068904533	0.217338858524155	0.753813068904533
MA0664.1	Mlxipl	ENSG00000009950	0.749263742518058	0.214502435132593	0.749263742518058
MA1585.1	Zkscan1	ENSG00000106261	0.745566221156087	0.212197096893271	0.745566221156087
MA0843.1	Tef	ENSG00000167074	0.737995469772381	0.207476869217304	0.737995469772381
MA0466.2	Cebpb	ENSG00000172216	0.732269659316188	0.203906929113231	0.732269659316188
MA0755.1	Cux2	ENSG00000111249	0.724485001737988	0.199053334762262	0.724485001737988
MA0520.1	Stat6	ENSG00000166888	0.721014755707667	0.19688969861513	0.721014755707667
MA0494.1	Nr1h3	ENSG00000025434	0.713168982073897	0.191997999499875	0.713168982073897
MA1107.2	Klf9	ENSG00000119138	0.712443228914006	0.191545505423975	0.712443228914006
