motif.name	name.universal	name.datasetspecific	overall.scale	TFchromVAR.ExpressionModule.Cor	TFexpress.ExpressionModule.Cor	TFchromVAR.ExpressionModule.Cor.Scale	TFexpress.ExpressionModule.Cor.Scale
MA0826.1	Olig1	Olig1	0.812024088563416	0.494505494505495	0.554945054945055	0.782988574477826	0.841059602649007
MA0117.2	Mafb	Mafb	0.781828905052225	0.192307692307692	0.802197802197802	0.573591584938886	0.990066225165563
MA1148.1	Ppara	Ppara	0.752355790263726	0.236263736263736	0.653846153846154	0.604049328871823	0.900662251655629
MA0019.1	Cebpa	Cebpa	0.7381188377242	0.214285714285714	0.631868131868132	0.588820456905355	0.887417218543046
MA0843.1	Tef	Tef	0.729993861462486	0.401098901098901	0.39010989010989	0.718265868620336	0.741721854304636
MA0745.2	Snai2	Snai2	0.729687522595187	0.0274725274725275	0.818681318681319	0.459375045190374	1
MA1534.1	Nr1i3	Nr1i3	0.727937083033028	0.208791208791209	0.604395604395604	0.585013238913738	0.870860927152318
MA0043.3	Hlf	Hlf	0.710877541646323	0.307692307692308	0.434065934065934	0.653543162762845	0.768211920529801
MA0637.1	Cenpb	Cenpb	0.707741323649341	0.164835164835165	0.587912087912088	0.554555494980801	0.860927152317881
MA1147.1	Rxra	Rxra	0.707391243087014	0.450549450549451	0.258241758241758	0.752530830544889	0.662251655629139
MA0910.2	Hoxd8	Hoxd8	0.702318197584908	0.593406593406593	0.077151674981046	0.851518498326933	0.553117896842882
MA0633.1	Twist2	Twist2	0.69819411754028	0.576923076923077	0.0824175824175824	0.840096844352082	0.556291390728477
MA0659.2	Mafg	Mafg	0.697727318956827	0.126373626373626	0.598901098901099	0.527904969039481	0.867549668874172
MA0093.3	Usf1	Usf1	0.691272552399194	0.0934065934065934	0.615384615384615	0.505061661089779	0.877483443708609
MA1539.1	Nr2f6	Nr2f6	0.68992326212742	0.467032967032967	0.181318681318681	0.76395248451974	0.615894039735099
MA0007.3	Ar	Ar	0.687283003843909	0.335164835164835	0.324175824175824	0.67257925272093	0.701986754966888
MA0089.2	Nfe2l1	Nfe2l1	0.687217354550841	0.0769230769230769	0.620879120879121	0.493640007114927	0.880794701986755
MA0638.1	Creb3	Creb3	0.685299164990023	0.291208791208791	0.368131868131868	0.642121508787994	0.728476821192053
MA0879.1	Dlx1	Dlx1	0.683583891182532	0.763736263736264	-0.180863137681341	0.969542256067063	0.397625526298
MA1142.1	Jund	Jund	0.678764168574314	0.21978021978022	0.428571428571429	0.592627674896972	0.764900662251656
MA0102.4	Cebpa	Cebpa	0.677203349858327	0.0384615384615385	0.631868131868132	0.466989481173608	0.887417218543046
MA0592.3	Esrra	Esrra	0.669581623592588	0.126373626373626	0.505494505494506	0.527904969039481	0.811258278145696
MA0491.2	Jund	Jund	0.669246123595271	0.192307692307692	0.428571428571429	0.573591584938886	0.764900662251656
MA0494.1	Nr1h3	Nr1h3	0.667430034740044	0.115384615384615	0.510989010989011	0.520290533056247	0.814569536423841
MA0480.1	Foxo1	Foxo1	0.667021595167154	0.032967032967033	0.604395604395604	0.463182263181991	0.870860927152318
MA0837.1	Cebpe	Cebpe	0.666445405595606	-0.0164835164835165	0.659340659340659	0.428917301257437	0.903973509933775
MA0699.1	Lbx2	Lbx2	0.666291564840686	0.417582417582418	0.159749853516637	0.729687522595187	0.602895607086186
MA1533.1	Nr1i2	Nr1i2	0.665365966028082	0.032967032967033	0.598901098901099	0.463182263181991	0.867549668874172
MA0025.2	Nfil3	Nfil3	0.661215957756642	0.197802197802198	0.395604395604396	0.577398802930503	0.745033112582781
MA0501.1	Maf	Maf	0.661048207757984	0.230769230769231	0.357142857142857	0.600242110880206	0.721854304635762
MA1146.1	Nr1h4	Nr1h4	0.660384498045854	0.252747252747253	0.32967032967033	0.615470982846674	0.705298013245033
MA0725.1	Vsx1	Vsx1	0.657918750845218	0.807692307692308	-0.316577332359827	1	0.315837501690435
MA1144.1	Jund	Jund	0.648306424641377	0.131868131868132	0.428571428571429	0.531712187031098	0.764900662251656
MA1522.1	Maz	Maz	0.647810464927906	0.120879120879121	0.43956043956044	0.524097751047864	0.771523178807947
MA1520.1	Maf	Maf	0.647722944787324	0.192307692307692	0.357142857142857	0.573591584938886	0.721854304635762
MA0848.1	Foxo4	Foxo4	0.645337956643053	-0.043956043956044	0.620879120879121	0.409881211299352	0.880794701986755
MA1147.1	Nr4a2	Nr4a2	0.639510448385027	0.450549450549451	0.032967032967033	0.752530830544889	0.526490066225166
MA1146.1	Rxra	Rxra	0.638861319237907	0.252747252747253	0.258241758241758	0.615470982846674	0.662251655629139
MA1111.1	Nr2f2	Nr2f2	0.636549270669208	0.164835164835165	0.351648351648352	0.554555494980801	0.718543046357616
MA1570.1	Tfap4	Tfap4	0.636447169963617	0.456043956043956	0.0164835164835165	0.756338048536506	0.516556291390729
MA0753.2	Zfp740	Zfp740	0.636053310955737	0.153846153846154	0.362637362637363	0.546941058997567	0.725165562913907
MA0836.2	Cebpd	Cebpd	0.633661032528962	0.0274725274725275	0.5	0.459375045190374	0.80794701986755
MA0125.1	Nobox	Nobox	0.633491335668256	0.697802197802198	-0.271294706522011	0.923855640167658	0.343127031168854
MA1585.1	Zkscan1	Zkscan1	0.633420342954731	-0.0879120879120879	0.631868131868132	0.379423467366415	0.887417218543046
MA1148.1	Rxra	Rxra	0.633150492250481	0.236263736263736	0.258241758241758	0.604049328871823	0.662251655629139
MA1141.1	Jund	Jund	0.633077552674909	0.0879120879120879	0.428571428571429	0.501254443098162	0.764900662251656
MA1145.1	Jund	Jund	0.633077552674909	0.0879120879120879	0.428571428571429	0.501254443098162	0.764900662251656
MA1124.1	Zfp24	Zfp24	0.632924383241259	-0.0989010989010989	0.642857142857143	0.371809031383181	0.894039735099338
MA0090.3	Tead1	Tead1	0.632078342965461	0.175824175824176	0.324175824175824	0.562169930964035	0.701986754966888
MA0109.1	Hltf	Hltf	0.631888722119289	0.538461538461538	-0.0934065934065934	0.813446318410763	0.450331125827815
MA1573.1	Thap11	Thap11	0.631013483962946	0.00549450549450549	0.516483516483517	0.444146173223905	0.817880794701987
MA1592.1	Zfp369	Zfp369	0.630415423543884	0.285714285714286	0.192307692307692	0.638314290796377	0.622516556291391
MA0646.1	Gcm1	Gcm1	0.62840242355998	0.681318681318681	-0.269230769230769	0.912433986192807	0.344370860927152
MA1581.1	Zbtb6	Zbtb6	0.628285705538853	-0.054945054945055	0.576923076923077	0.402266775316117	0.85430463576159
MA1636.1	Cebpg	Cebpg	0.627184395123815	0.324175824175824	0.137362637362637	0.664964816737696	0.589403973509934
MA0750.2	Zbtb7a	Zbtb7a	0.625638156972838	-0.0769230769230769	0.593406593406593	0.387037903349649	0.864238410596027
MA1650.1	Zbtb14	Zbtb14	0.625142197259366	-0.0879120879120879	0.604395604395604	0.379423467366415	0.870860927152318
MA0062.3	Gabpa	Gabpa	0.624886927120126	0.0164835164835165	0.483516483516484	0.45176060920714	0.798013245033113
MA0639.1	Dbp	Dbp	0.624463906982227	0.153846153846154	0.324175824175824	0.546941058997567	0.701986754966888
MA0829.2	Srebf1	Srebf1	0.623136487557967	0.197802197802198	0.269230769230769	0.577398802930503	0.66887417218543
MA0496.3	Mafk	Mafk	0.621568378559476	0.126373626373626	0.346153846153846	0.527904969039481	0.71523178807947
MA0726.1	Vsx2	Vsx2	0.615894039735099	0.807692307692308	-0.456043956043956	1	0.231788079470199
MA1102.2	Ctcfl	Ctcfl	0.615536632139742	-0.043956043956044	0.521978021978022	0.409881211299352	0.821192052980133
MA1493.1	Hes6	Hes6	0.614355091866627	0.296703296703297	0.126373626373626	0.645928726779611	0.582781456953642
MA0462.2	Jun	Jun	0.612371253012741	0.252747252747253	0.17032967032967	0.615470982846674	0.609271523178808
MA0074.1	Rxra	Rxra	0.612210793296587	0.175824175824176	0.258241758241758	0.562169930964035	0.662251655629139
MA0148.4	Foxa1	Foxa1	0.611970103722356	0.0604395604395604	0.39010989010989	0.482218353140076	0.741721854304636
MA1577.1	Tlx2	Tlx2	0.61134934797969	0.263736263736264	0.154303349962092	0.623085418829908	0.599613277129473
MA1594.1	Zfp382	Zfp382	0.611189712739626	0.593406593406593	-0.225274725274725	0.851518498326933	0.370860927152318
MA1123.2	Twist1	Twist1	0.610764626065145	0.197802197802198	0.228172503617228	0.577398802930503	0.644130449199786
MA0047.3	Foxa2	Foxa2	0.610401994723865	-0.010989010989011	0.467032967032967	0.432724519249054	0.788079470198676
